matrixname,type,scalar,1rVc,2rVc,4rVc
bundle_adj,double,0.37648,1.08254,1.12888,1.02277
bundle_adj,float,0.373627,1.34024,1.29835,0.991472
CO,double,0.351515,0.40642,0.481103,0.447668
CO,float,0.35821,0.420975,0.505905,0.430552
crankseg_2,double,0.383968,1.51796,1.67301,1.36873
crankseg_2,float,0.388175,2.09851,2.3938,1.89144
dense,double,0.392893,2.76966,3.34432,3.11527
dense,float,0.394892,5.4423,6.63691,6.25416
dielFilterV2real,double,0.358562,0.590034,0.571035,0.427832
dielFilterV2real,float,0.363664,0.668006,0.68955,0.49772
Emilia_923,double,0.361308,0.813203,0.899202,0.750704
Emilia_923,float,0.366319,0.900999,0.994478,0.800903
FullChip,double,0.298313,0.271612,0.255707,0.212579
FullChip,float,0.27752,0.273009,0.262454,0.194287
Hook_1498,double,0.35849,0.773745,0.87123,0.71815
Hook_1498,float,0.363377,0.892664,0.990036,0.75664
in-2004,double,0.333475,0.468381,0.445959,0.372706
in-2004,float,0.334556,0.481581,0.439761,0.324119
ldoor,double,0.351774,1.16376,1.11134,0.982186
ldoor,float,0.360955,1.34455,1.22186,1.00151
mixtank_new,double,0.37093,0.657165,0.653378,0.490418
mixtank_new,float,0.375445,0.782372,0.827994,0.598683
nd6k,double,0.3883,1.99469,2.34338,2.11004
nd6k,float,0.392167,3.2025,3.81394,3.27691
ns3Da,double,0.362204,0.288186,0.21293,0.138386
ns3Da,float,0.371904,0.328263,0.254462,0.163995
pdb1HYS,double,0.381927,1.53736,1.79329,1.56724
pdb1HYS,float,0.384421,2.05802,2.38643,1.95276
pwtk,double,0.368212,1.27881,1.43547,1.29434
pwtk,float,0.370884,1.764,1.68839,1.27734
RM07R,double,0.376295,1.20423,1.28443,1.03407
RM07R,float,0.380362,1.40667,1.59703,1.2414
Serena,double,0.359917,0.804706,0.896636,0.73695
Serena,float,0.365291,0.9298,1.04028,0.796935
Si41Ge41H72,double,0.371995,0.726967,0.844023,0.748483
Si41Ge41H72,float,0.377857,0.792262,0.946195,0.790913
Si87H76,double,0.35923,0.484542,0.570187,0.524089
Si87H76,float,0.365388,0.503442,0.605288,0.511409
spal_004,double,0.348756,1.14791,0.943822,0.642596
spal_004,float,0.394549,2.35717,1.78445,1.2967
torso1,double,0.40494,1.4016,1.508,1.4235
torso1,float,0.416202,1.92263,2.00517,1.55552
TSOPF_RS_b2383_c1,double,0.39194,2.44869,2.87033,2.59202
TSOPF_RS_b2383_c1,float,0.394138,4.22662,4.86553,4.14237
wikipedia-20060925,double,0.125221,0.087762,0.0703593,0.0479255
wikipedia-20060925,float,0.143486,0.104579,0.0819063,0.0551022
